government-domain,org_original.x,org_original.y,curie,score
paroleboard.gov.uk,Parole Board for England and Wales,Parole Board,government-organisation:PB301,0.17948717948717952
scottishparoleboard.gov.uk,Parole Board for Scotland,Parole Board,government-organisation:PB301,0.14285714285714302
comeytrowe-pc.gov.uk,Comeytrowe Parish Council,Portsmouth City Council,local-authority-eng:POR,0.1934782608695652
alcester-tc.gov.uk,Alcester Town Council,Preston City Council,local-authority-eng:PRE,0.17231559290382825
bicester.gov.uk,Bicester Town Council,Preston City Council,local-authority-eng:PRE,0.16428571428571437
carlyon-pc.gov.uk,carlyon Parish Council,Preston City Council,local-authority-eng:PRE,0.16497326203208562
clayton-pc.gov.uk,Clayton Parish Council,Preston City Council,local-authority-eng:PRE,0.17727272727272725
keswicktowncouncil.gov.uk,Keswick Town Council,Preston City Council,local-authority-eng:PRE,0.1958333333333333
newport.gov.uk,Newport City Council,Preston City Council,local-authority-eng:PRE,0.0859649122807018
patchwaytowncouncil.gov.uk,Patchway Town Council,Preston City Council,local-authority-eng:PRE,0.19811507936507944
prescot-tc.gov.uk,Prescot Town Council,Preston City Council,local-authority-eng:PRE,0.15000000000000013
prestatyntowncouncil.gov.uk,Prestatyn Town Council,Preston City Council,local-authority-eng:PRE,0.15875420875420865
puritonparishcouncil.gov.uk,Puriton Parish Council,Preston City Council,local-authority-eng:PRE,0.19924242424242422
riponcity.gov.uk,Ripon City Council,Preston City Council,local-authority-eng:PRE,0.10773420479302842
tollertonparishcouncil.gov.uk,Tollerton Parish Council,Preston City Council,local-authority-eng:PRE,0.19074074074074088
number10.gov.uk,Prime Minister's Office,"Prime Minister's Office, 10 Downing Street",government-organisation:OT532,0.15000000000000013
boroughgreen.gov.uk,Borough Green Parish Council,Reading Borough Council,local-authority-eng:RDG,0.18440617353660826
RedbournParishCouncil.gov.uk,Redbourn Parish Council,Reading Borough Council,local-authority-eng:RDG,0.19528985507246377
ribblevalley.gov.uk,Ribblevalley Borough Council,Ribble Valley Borough Council,local-authority-eng:RIB,0.09482758620689657
sthelens.gov.uk,St Helens Metropolitan Borough Council,Rochdale Metropolitan Borough Council,local-authority-eng:RCH,0.17059329065908013
rochfordparishcouncil.gov.uk,Rochford Parish Council,Rochford District Council,local-authority-eng:ROC,0.1851449275362319
causewaycoastandglens.gov.uk,Coleraine Borough Council,Rossendale Borough Council,local-authority-eng:ROS,0.09411371237458199
rbkc.gov.uk,The Royal Borough of Kensington and Chelsea,Royal Borough of Kensington and Chelsea,local-authority-eng:KEC,0.1932870370370371
rcahms.gov.uk,Royal Commission on the Ancient and Historical Monuments of Scotland,Royal Commission on Environmental Pollution,government-organisation:OT606,0.1810043519651845
cbhc.gov.uk,Royal Commission on the Ancient and Historical Monuments of Wales,Royal Commission on Environmental Pollution,government-organisation:OT606,0.18342940435963706
flintshire.gov.uk,Flintshire County Council,Rutland County Council,local-authority-eng:RUT,0.1605422647527911
cwmbran.gov.uk,Torfaen County Borough Council,Rutland County Council,local-authority-eng:RUT,0.18308080808080818
glasgow.gov.uk,Glasgow City Council,Salford City Council,local-authority-eng:SLF,0.11960784313725492
liskeard.gov.uk,Liskeard Town Council,Salford City Council,local-authority-eng:SLF,0.1919234360410832
seafordtowncouncil.gov.uk,Seaford Town Council,Salford City Council,local-authority-eng:SLF,0.1958333333333333
sleaford.gov.uk,Sleaford Town Council,Salford City Council,local-authority-eng:SLF,0.1919234360410832
swinfordparishcouncil.gov.uk,Swinford Parish Council,Salford City Council,local-authority-eng:SLF,0.1993659420289855
castonparishcouncil.gov.uk,Caston Parish Council,Scottish Arts Council,government-organisation:OT762,0.1785714285714286
catcottparishcouncil.gov.uk,Catcott Parish Council,Scottish Arts Council,government-organisation:OT762,0.15614794562162992
stosyth.gov.uk,St Osyth Parish Council,Scottish Arts Council,government-organisation:OT762,0.1511205550107152
suttonparishcouncil.gov.uk,Sutton Parish Council,Scottish Arts Council,government-organisation:OT762,0.1693121693121693
westcottparishcouncil.gov.uk,Westcott Parish Council,Scottish Arts Council,government-organisation:OT762,0.1426846100759145
yatton-pc.gov.uk,Yatton Parish Council,Scottish Arts Council,government-organisation:OT762,0.19561157796451922
bostockparishcouncil.gov.uk,Bostock Parish Council,Scottish Sports Council,government-organisation:EA764,0.1999167880174746
scotborders.gov.uk,Scottish Borders Council,Scottish Sports Council,government-organisation:EA764,0.1240338164251209
shottonparishcouncil.gov.uk,Shotton Parish Council,Scottish Sports Council,government-organisation:EA764,0.18237292836835173
woodsettsparishcouncil.gov.uk,Woodsetts Parish Council,Scottish Sports Council,government-organisation:EA764,0.17403381642512084
salisburycitycouncil.gov.uk,Salisbury City Council,Selby District Council,local-authority-eng:SEL,0.16108452950558216
stdavids.gov.uk,St. David's City Council,Selby District Council,local-authority-eng:SEL,0.17936612501829896
sevenoakstown.gov.uk,Sevenoaks Town Council,Sevenoaks District Council,local-authority-eng:SEV,0.18782971414550376
chestfieldparishcouncil.gov.uk,Chestfield Parish Council,Sheffield City Council,local-authority-eng:SHF,0.1803030303030304
lisburncastlereagh.gov.uk,Lisburn City Council,Sheffield City Council,local-authority-eng:SHF,0.17840909090909096
lgyh.gov.uk,Wakefield City Council,Sheffield City Council,local-authority-eng:SHF,0.09090909090909083
elswickparishcouncil.gov.uk,Elswick Parish Council,Shepway District Council,local-authority-eng:SHE,0.18507442849548106
ashpcsurrey.gov.uk,Ash Parish Council,Shropshire Council,local-authority-eng:SHR,0.16666666666666674
ashover-pc.gov.uk,Ashover Parish Council,Shropshire Council,local-authority-eng:SHR,0.14393939393939392
ashwell.gov.uk,Ashwell Parish Council,Shropshire Council,local-authority-eng:SHR,0.19044612794612803
chedzoyparishcouncil.gov.uk,Chedzoy Parish Council,Shropshire Council,local-authority-eng:SHR,0.19044612794612803
henlow-pc.gov.uk,Henlow Parish Council,Shropshire Council,local-authority-eng:SHR,0.1789021164021165
holme-westmorland-pc.gov.uk,Holme Parish Council,Shropshire Council,local-authority-eng:SHR,0.17662037037037037
hook.gov.uk,Hook Parish Council,Shropshire Council,local-authority-eng:SHR,0.19239766081871357
hordleparishcouncil.gov.uk,Hordle Parish Council,Shropshire Council,local-authority-eng:SHR,0.17024587612822906
kensworthparishcouncil.gov.uk,Kensworth Parish Council,Shropshire Council,local-authority-eng:SHR,0.18518518518518512
nash-bucks-pc.gov.uk,Nash Parish Council,Shropshire Council,local-authority-eng:SHR,0.18128654970760238
roadeparishcouncil.gov.uk,Roade Parish Council,Shropshire Council,local-authority-eng:SHR,0.17662037037037037
rogateparishcouncil.gov.uk,Rogate Parish Council,Shropshire Council,local-authority-eng:SHR,0.18931878306878314
romsleyparishcouncil.gov.uk,Romsley Parish Council,Shropshire Council,local-authority-eng:SHR,0.19231530996236879
sendparishcouncil.gov.uk,Send Parish Council,Shropshire Council,local-authority-eng:SHR,0.19239766081871357
shearsbyparishcouncil.gov.uk,Shearsby Parish Council,Shropshire Council,local-authority-eng:SHR,0.1642985696694138
shenley-pc.gov.uk,Shenley Parish Council,Shropshire Council,local-authority-eng:SHR,0.19044612794612803
shereparishcouncil.gov.uk,Shere Parish Council,Shropshire Council,local-authority-eng:SHR,0.1469498910675382
shorehamparishcouncil.gov.uk,Shoreham Parish Council,Shropshire Council,local-authority-eng:SHR,0.1465378421900162
somersham-pc.gov.uk,Somersham Parish Council,Shropshire Council,local-authority-eng:SHR,0.16666666666666674
steep-pc.gov.uk,Steep Parish Council,Shropshire Council,local-authority-eng:SHR,0.19444444444444442
stoke-pc-worcs.gov.uk,Stoke Parish Council,Shropshire Council,local-authority-eng:SHR,0.17662037037037037
wroseparishcouncil.gov.uk,Wrose Parish Council,Shropshire Council,local-authority-eng:SHR,0.16655773420479303
zennorparishcouncil.gov.uk,Zennor Parish Council,Shropshire Council,local-authority-eng:SHR,0.19973544973544977
somertontowncouncil.gov.uk,Somerton Town Council,Somerset County Council,local-authority-eng:SOM,0.19415688980906376
southbucks.gov.uk,South Buckinghamshire District Council,South Cambridgeshire District Council,local-authority-eng:SCA,0.14544807965860596
stalbans.gov.uk,St Albans District Council,South Hams District Council,local-authority-eng:SHA,0.11301044634377977
south-hill-pc.gov.uk,South Hill Parish Council,South Holland District Council,local-authority-eng:SHO,0.17690821256038647
cncbuildingcontrol.gov.uk,South Norfolk Council,South Norfolk District Council,local-authority-eng:SNO,0.14761904761904776
southnormantonparishcouncil.gov.uk,South Normanton Parish Council,South Northamptonshire Council,local-authority-eng:SNR,0.15925925925925932
southpethertonparishcouncil.gov.uk,South Petherton Parish Council,South Northamptonshire Council,local-authority-eng:SNR,0.1777777777777778
sstaffs.gov.uk,South Staffordshire District Council,South Staffordshire Council,local-authority-eng:SST,0.12037037037037046
southwater-pc.gov.uk,Southwater Parish Council,South Staffordshire Council,local-authority-eng:SST,0.18506172839506174
dauntseyparishcouncil.gov.uk,Dauntsey Parish Council,South Tyneside Council,local-authority-eng:STY,0.19788464353681756
stansted-pc.gov.uk,Stansted Parish Council,South Tyneside Council,local-authority-eng:STY,0.18862538427755815
tupton-pc.gov.uk,Tupton Parish Council,South Tyneside Council,local-authority-eng:STY,0.1980731686614039
offacommunitycouncil.gov.uk,Offa Community Council,Southampton City Council,local-authority-eng:STH,0.1938463583200426
southamcouncil-warks.gov.uk,Southam Town Council,Southampton City Council,local-authority-eng:STH,0.18260233918128654
tavistock.gov.uk,Tavistock Town Council,Southampton City Council,local-authority-eng:STH,0.18507442849548106
southwark.gov.uk,Southwark London Borough Council,Southend-on-Sea Borough Council,local-authority-eng:SOS,0.1568224810832337
sutton.gov.uk,Sutton London Borough Council,Southend-on-Sea Borough Council,local-authority-eng:SOS,0.1771598071931777
pershore-tc.gov.uk,Pershore Town Council,Spelthorne Borough Council,local-authority-eng:SPE,0.19279609279609278
hessletowncouncil.gov.uk,Hessle Town Council,St Helens Council,local-authority-eng:SHN,0.15273477812177505
selseytowncouncil.gov.uk,Selsey Town Council,St Helens Council,local-authority-eng:SHN,0.17640608875128994
stroud-pc.gov.uk,Stroud Parish Council,Stafford Borough Council,local-authority-eng:STA,0.1957671957671957
bradfordonavontowncouncil.gov.uk,Bradford on Avon Town Council,Stratford-on-Avon District Council,local-authority-eng:STR,0.19421230561189995
stratford-tc.gov.uk,Stratford-upon-Avon Town Council,Stratford-on-Avon District Council,local-authority-eng:STR,0.1577478213507626
newtownabbey.gov.uk,Newtownabbey Borough Council,Swindon Borough Council,local-authority-eng:SWD,0.17204968944099386
ringwood.gov.uk,Ringwood Town Council,Swindon Borough Council,local-authority-eng:SWD,0.19498020413352224
barmouthtowncouncil.gov.uk,Barmouth Town Council,Tamworth Borough Council,local-authority-eng:TAW,0.14642857142857157
tsb.gov.uk,The Technology Strategy Board,Technology Strategy Board,government-organisation:PB136,0.16597701149425292
Brierfield.gov.uk,Brierfield Town Council,Telford & Wrekin Council,local-authority-eng:TFW,0.16544795783926225
cricklade-tc.gov.uk,Cricklade Town Council,Telford & Wrekin Council,local-authority-eng:TFW,0.16985645933014348
devizes-tc.gov.uk,Devizes Town Council,Telford & Wrekin Council,local-authority-eng:TFW,0.18458110516934045
ferryhill.gov.uk,Ferryhill Town Council,Telford & Wrekin Council,local-authority-eng:TFW,0.16108452950558216
hatfield-herts.gov.uk,Hatfield Town Council,Telford & Wrekin Council,local-authority-eng:TFW,0.1637806637806638
keighley.gov.uk,Keighley Town Council,Telford & Wrekin Council,local-authority-eng:TFW,0.1980731686614039
mirfieldtowncouncil.gov.uk,Mirfield Town Council,Telford & Wrekin Council,local-authority-eng:TFW,0.16491987544619124
petersfield-tc.gov.uk,Petersfield Town Council,Telford & Wrekin Council,local-authority-eng:TFW,0.17752525252525264
stalbridgetowncouncil.gov.uk,Stalbridge Town Council,Telford & Wrekin Council,local-authority-eng:TFW,0.19788464353681756
thetfordtowncouncil.gov.uk,Thetford Town Council,Telford & Wrekin Council,local-authority-eng:TFW,0.1980731686614039
uckfieldtc.gov.uk,Uckfield Town Council,Telford & Wrekin Council,local-authority-eng:TFW,0.14737601579706838
tewkesburytowncouncil.gov.uk,Tewkesbury Town Council,Tewkesbury Borough Council,local-authority-eng:TEW,0.1620680044593088
aberdeencityandshire-sdpa.gov.uk,Aberdeen City Council,The Aberdeen City Council,local-authority-sct:ABE,0.15650793650793648
aberdeenshire.gov.uk,Aberdeenshire Council,The Aberdeenshire Council,local-authority-sct:ABD,0.15650793650793648
hordenparishcouncil.gov.uk,Horden Parish Council,The Aberdeenshire Council,local-authority-sct:ABD,0.1994653299916458
adjudicators.gov.uk,The Adjudicator's Office,The Adjudicator’s Office,government-organisation:OT433,0.01388888888888884
angus.gov.uk,Angus Council,The Angus Council,local-authority-sct:ANS,0.15535444947209665
argyll-bute.gov.uk,Argyll and Bute Council,The Argyll and Bute Council,local-authority-sct:AGB,0.1632341723874905
charity-commission.gov.uk,Charity Commission,The Charity Commission,government-organisation:D98,0.12542087542087543
centralscotland-vjb.gov.uk,Clackmannanshire Council,The Clackmannanshire Council,local-authority-sct:CLK,0.14484126984126977
dumgal.gov.uk,Dumfries and Galloway Council,The Dumfries and Galloway Council,local-authority-sct:DGY,0.15931034482758633
east-ayrshire.gov.uk,East Ayrshire Council,The East Ayrshire Council,local-authority-sct:EAY,0.15650793650793648
eynsham-pc.gov.uk,Eynsham Parish Council,The East Ayrshire Council,local-authority-sct:EAY,0.19562998405103682
northcave-pc.gov.uk,North Cave Parish Council,The East Ayrshire Council,local-authority-sct:EAY,0.19166666666666676
sawtry-pc.gov.uk,Sawtry Parish Council,The East Ayrshire Council,local-authority-sct:EAY,0.19069340016708436
seagryparishcouncil.gov.uk,Seagry Parish Council,The East Ayrshire Council,local-authority-sct:EAY,0.18192147034252293
southcavepc.gov.uk,South Cave Parish Council,The East Ayrshire Council,local-authority-sct:EAY,0.19166666666666676
stallenparishcouncil.gov.uk,St Allen Parish Council,The East Ayrshire Council,local-authority-sct:EAY,0.1906025934401221
stcleerparishcouncil.gov.uk,St Cleer Parish Council,The East Ayrshire Council,local-authority-sct:EAY,0.1851449275362319
sterth-pc.gov.uk,St Erth Parish Council,The East Ayrshire Council,local-authority-sct:EAY,0.16372294372294371
street-pc.gov.uk,Street Parish Council,The East Ayrshire Council,local-authority-sct:EAY,0.17420634920634925
thestukeleys-pc.gov.uk,The Stukeleys Parish Council,The East Ayrshire Council,local-authority-sct:EAY,0.15865424430641828
thealeparishcouncil.gov.uk,Theale Parish Council,The East Ayrshire Council,local-authority-sct:EAY,0.1731495405179615
thursley-pc.gov.uk,Thursley Parish Council,The East Ayrshire Council,local-authority-sct:EAY,0.1851449275362319
burtondassett-pc.gov.uk,Burton Dassett Parish Council,The East Dunbartonshire Council,local-authority-sct:EDU,0.19562888806492817
eastdunbarton.gov.uk,East Dunbartonshire Council,The East Dunbartonshire Council,local-authority-sct:EDU,0.1664675428116288
queenthorneparishcouncil.gov.uk,Queen Thorne Parish Council,The East Dunbartonshire Council,local-authority-sct:EDU,0.18254082039028297
chalfontstpeter-pc.gov.uk,Chalfont St. Peter Parish Council,The East Lothian Council,local-authority-sct:ELN,0.19507575757575757
eastlothian.gov.uk,East Lothian Council,The East Lothian Council,local-authority-sct:ELN,0.16388888888888875
hailsham-tc.gov.uk,Hailsham Town Council,The East Lothian Council,local-authority-sct:ELN,0.19768170426065168
seergreenparishcouncil.gov.uk,Seer Green Parish Council,The East Renfrewshire Council,local-authority-sct:ERW,0.18258870564717655
attorneygeneralni.gov.uk,The Executive Office,The Executive Office (Northern Ireland),government-organisation:OT1179,0.15315315315315325
falkirk-council.gov.uk,Falkirk Council,The Falkirk Council,local-authority-sct:FAL,0.15906432748538024
fifefire.gov.uk,Fife Council,The Fife Council,local-authority-sct:FIF,0.13888888888888884
csl.gov.uk,Food and Environment Research Agency,The Food and Environment Research Agency,government-organisation:EA56,0.1776620370370371
inverclyde.gov.uk,Inverclyde Council,The Inverclyde Council,local-authority-sct:IVC,0.1624579124579124
chiseldon-pc.gov.uk,Chiseldon Parish Council,The Midlothian Council,local-authority-sct:MLN,0.1938463583200426
christleton-pc.gov.uk,Christleton Parish Council,The Midlothian Council,local-authority-sct:MLN,0.19889277389277393
middleton-northants-pc.gov.uk,Middleton Parish Council,The Midlothian Council,local-authority-sct:MLN,0.18585858585858595
midlothian.gov.uk,Midlothian Council,The Midlothian Council,local-authority-sct:MLN,0.1624579124579124
trimdonparishcouncil.gov.uk,Trimdon Parish Council,The Midlothian Council,local-authority-sct:MLN,0.19528619528619529
whitehilltowncouncil.gov.uk,Whitehill Town Council,The Midlothian Council,local-authority-sct:MLN,0.17862838915470503
nas.gov.uk,The National Archives of Scotland,The National Archives,government-organisation:EA71,0.09999999999999998
batchworth-pc.gov.uk,Batchworth Parish Council,The North Ayrshire Council,local-authority-sct:NAY,0.19358974358974357
bournheath-pc.gov.uk,Bournheath Parish Council,The North Ayrshire Council,local-authority-sct:NAY,0.19680097680097686
colneyheathparishcouncil.gov.uk,Colney Heath Parish Council,The North Ayrshire Council,local-authority-sct:NAY,0.18929352987324
coxgreen.gov.uk,Cox Green Parish Council,The North Ayrshire Council,local-authority-sct:NAY,0.1991452991452991
hertfordheath.gov.uk,Hertford Heath Parish Council,The North Ayrshire Council,local-authority-sct:NAY,0.16644562334217505
north-ayrshire.gov.uk,North Ayrshire Council,The North Ayrshire Council,local-authority-sct:NAY,0.16491841491841486
ststephenparishcouncil.gov.uk,St Stephen Parish Council,The North Ayrshire Council,local-authority-sct:NAY,0.18886446886446895
thegorgeparishcouncil.gov.uk,The Gorge Parish Council,The North Ayrshire Council,local-authority-sct:NAY,0.13751526251526247
thornley-pc.gov.uk,Thornley Parish Council,The North Ayrshire Council,local-authority-sct:NAY,0.18038965865052825
tormarton-pc.gov.uk,Tormarton Parish Council,The North Ayrshire Council,local-authority-sct:NAY,0.1991452991452991
LittleHarrowdenParishCouncil.gov.uk,Little Harrowden Parish Council,The North Lanarkshire Council,local-authority-sct:NLK,0.19722055845526376
newhollandparishcouncil.gov.uk,New Holland Parish Council,The North Lanarkshire Council,local-authority-sct:NLK,0.1999236395788121
northlanarkshire.gov.uk,North Lanarkshire Council,The North Lanarkshire Council,local-authority-sct:NLK,0.15931034482758633
eastgarston-pc.gov.uk,East Garston Parish Council,The Perth and Kinross Council,local-authority-sct:PKN,0.17748597081930428
knebworthparishcouncil.gov.uk,Knebworth Parish Council,The Perth and Kinross Council,local-authority-sct:PKN,0.1823015873015874
netherstowey-pc.gov.uk,Nether Stowey Parish Council,The Perth and Kinross Council,local-authority-sct:PKN,0.1581746031746032
overstone-pc.gov.uk,Overstone Parish Council,The Perth and Kinross Council,local-authority-sct:PKN,0.19817460317460323
stokeandhurleston-pc.gov.uk,Stoke & Hurleston Parish Council,The Perth and Kinross Council,local-authority-sct:PKN,0.18222222222222217
thirsk-tc.gov.uk,Thirsk Town Council,The Perth and Kinross Council,local-authority-sct:PKN,0.1849512670565303
thurstonparishcouncil.gov.uk,Thurston Parish Council,The Perth and Kinross Council,local-authority-sct:PKN,0.1696204278812975
treetonparishcouncil.gov.uk,Treeton Parish Council,The Perth and Kinross Council,local-authority-sct:PKN,0.17165945165945184
eastrenfrewshire.gov.uk,East Renfrewshire Council,The Renfrewshire Council,local-authority-sct:RFW,0.12026570048309182
renfrewshire.gov.uk,Renfrewshire Council,The Renfrewshire Council,local-authority-sct:RFW,0.15555555555555567
shenstone-staffs.gov.uk,Shenstone Parish Council,The South Ayrshire Council,local-authority-sct:SAY,0.1908119658119659
ayrshire.gov.uk,South Ayrshire Council,The South Ayrshire Council,local-authority-sct:SAY,0.16491841491841486
southbrent.gov.uk,South Brent Parish council,The South Ayrshire Council,local-authority-sct:SAY,0.16387959866220747
westhoathly.gov.uk,West Hoathly Parish Council,The South Ayrshire Council,local-authority-sct:SAY,0.17480077625005164
broughton-astley.gov.uk,Broughton Astley Parish Council,The South Lanarkshire Council,local-authority-sct:SLK,0.18440004563475076
greatglen-pc.gov.uk,Great Glen Parish Council,The South Lanarkshire Council,local-authority-sct:SLK,0.19621734587251838
okehamptonhamlets-pc.gov.uk,Okehampton Hamlets Parish Council,The South Lanarkshire Council,local-authority-sct:SLK,0.19470567746429823
purleyonthames-pc.gov.uk,Purley on Thames Parish Council,The South Lanarkshire Council,local-authority-sct:SLK,0.19722055845526376
southlanarkshire.gov.uk,South Lanarkshire Council,The South Lanarkshire Council,local-authority-sct:SLK,0.15931034482758633
thurmastonpc.gov.uk,Thurmaston Parish Council,The South Lanarkshire Council,local-authority-sct:SLK,0.18258870564717655
stirling.gov.uk,Stirling Council,The Stirling Council,local-authority-sct:STG,0.16041666666666676
tintagelparishcouncil.gov.uk,Tintagel Parish Council,The Stirling Council,local-authority-sct:STG,0.16235697940503435
twineham-pc.gov.uk,Twineham Parish Council,The Stirling Council,local-authority-sct:STG,0.19578005115089514
suttonbengerparishcouncil.gov.uk,Sutton Benger Parish Council,The West Dunbartonshire Council,local-authority-sct:WDU,0.1801370672338416
dab-vjb.gov.uk,West Dunbartonshire Council,The West Dunbartonshire Council,local-authority-sct:WDU,0.1664675428116288
haltwhistle-tc.gov.uk,Haltwhistle Town Council,The West Lothian Council,local-authority-sct:WLN,0.1865079365079365
lymeregistowncouncil.gov.uk,Lyme Regis Town Council,The West Lothian Council,local-authority-sct:WLN,0.171275108060005
westlothian.gov.uk,West Lothian Council,The West Lothian Council,local-authority-sct:WLN,0.16388888888888875
banbury.gov.uk,Banbury Town Council,Torbay Council,local-authority-eng:TOB,0.19523809523809532
moray-edunet.gov.uk,Moray Council,Torbay Council,local-authority-eng:TOB,0.07326007326007333
thornabytowncouncil.gov.uk,Thornaby Town Council,Torbay Council,local-authority-eng:TOB,0.18253968253968267
londonworks.gov.uk,Transport for London,Transport Focus,government-organisation:PB1118,0.19305555555555554
dmo.gov.uk,Debt Management Office,UK Debt Management Office,government-organisation:EA82,0.16121212121212136
wirral.gov.uk,Wirral Metropolitan Borough Council,Walsall Metropolitan Borough Council,local-authority-eng:WLL,0.10727513227513241
brauntonparishcouncil.gov.uk,Braunton Parish Council,Warrington Borough Council,local-authority-eng:WRT,0.19540133779264213
irthlingborough-tc.gov.uk,Irthlingborough Town Council,Warrington Borough Council,local-authority-eng:WRT,0.17769549291288422
walesfire.gov.uk,Welsh Government Fire Branch,Welsh Government,government-organisation:DA1019,0.14285714285714302
wlga.gov.uk,Welsh Local Government Association,Welsh Government,government-organisation:DA1019,0.19730392156862742
walesoffice.gov.uk,Wales Office,Welsh Office,government-organisation:OT590,0.08585858585858597
bersted-pc.gov.uk,Bersted Parish Council,West Berkshire Council,local-authority-eng:WBK,0.17862838915470503
bewerleyparishcouncil.gov.uk,Bewerley Parish Council,West Berkshire Council,local-authority-eng:WBK,0.18237292836835173
east-leake.gov.uk,East Leak Parish Council,West Berkshire Council,local-authority-eng:WBK,0.1994949494949494
keresley-pc.gov.uk,Keresely Parish Council,West Berkshire Council,local-authority-eng:WBK,0.18237292836835173
westend-pc.gov.uk,West End Parish Council,West Berkshire Council,local-authority-eng:WBK,0.17936612501829896
westparley-pc.gov.uk,West Parley Parish Council,West Berkshire Council,local-authority-eng:WBK,0.18782971414550376
holcomberogus-pc.gov.uk,Holcombe Rogus Parish Council,West Lancashire Borough Council,local-authority-eng:WLA,0.19722055845526376
midandeastantrim.gov.uk,Mid and East Antrim Borough Council,West Lancashire Borough Council,local-authority-eng:WLA,0.19569892473118278
westlancashire.gov.uk,West Lancashire District Council,West Lancashire Borough Council,local-authority-eng:WLA,0.17076612903225807
worlestondistrict-pc.gov.uk,Worleston & District Parish Council,West Oxfordshire District Council,local-authority-eng:WOX,0.16701497735980497
caerffili.gov.uk,Caerphilly County Borough Council,Weymouth and Portland Borough Council,local-authority-eng:WEY,0.19624819624819634
harrow.gov.uk,Harrow London Borough Council,Weymouth and Portland Borough Council,local-authority-eng:WEY,0.18211290625083731
haringey.gov.uk,Haringey London Borough Council,Wigan Metropolitan Borough Council,local-authority-eng:WGN,0.1733665987302926
lydiateparishcouncil.gov.uk,Lydiate Parish Council,Wiltshire Council,local-authority-eng:WIL,0.19385026737967914
wiltshire.gov.uk,The Wiltshire Council,Wiltshire Council,local-authority-eng:WIL,0.1615312791783381
westleigh-devon.gov.uk,Westleigh Parish Council,Wiltshire Council,local-authority-eng:WIL,0.17565359477124187
wheatleyparishcouncil.gov.uk,Wheatley Parish Council,Wiltshire Council,local-authority-eng:WIL,0.19397378516624053
blpd.gov.uk,Wiltshire Police,Wiltshire Council,local-authority-eng:WIL,0.13620448179271705
witherleyparishcouncil.gov.uk,Witherley Parish Council,Wiltshire Council,local-authority-eng:WIL,0.17565359477124187
witley-pc.gov.uk,Witley Parish Council,Wiltshire Council,local-authority-eng:WIL,0.14192343604108326
westminster.gov.uk,Westminster City Council,Winchester City Council,local-authority-eng:WIN,0.1658902691511387
wooburnparish.gov.uk,Wooburn Parish Council,Wirral Borough Council,local-authority-eng:WRL,0.16985645933014348
wokingham-tc.gov.uk,Wokingham Town Council,Wokingham Borough Council,local-authority-eng:WOK,0.16931419457735242
cityofworcester.gov.uk,City of Worcester Council,Worcester City Council,local-authority-eng:WOC,0.10606060606060619
longborough-pc.gov.uk,Longborough Parish Council,Worthing Borough Council,local-authority-eng:WOT,0.16996891996891994
antrimandnewtownabbey.gov.uk,Antrim Borough Council,Wyre Borough Council,local-authority-eng:WYR,0.12575757575757585
